State No,County No,FOR,AGAINST,TOTAL CASTE,DEPENDENT VARIABLE,BALLOT TYPE,POPULATION,PCI,MEDIUM FAMILY INCOME,SIZE OF COUNTY,POPULATION DENSITY,PERCENT WHITE,PERCENT BLACK,PERCENT OTHER,PERCENT MALE,PERCENT FEMALE,NO OF CHURCHES,NO OF CHURCH MEMBERS,PERCENT CHURCH MEMBERS OF POPULATION,POVERTY LEVEL,UNEMPLOYMENT RATE,AGE LESS THAN 18,AGE24,AGE44,AGE64,AGE OLDER THAN 65,MSA,PERCENT MINORITY,NO OF OLDER,NO OF YOUNGER
1,1,42385,22992,65377,1,1,265038,"$15,607 ","$34,618 ",1192.00,223.29,.75,.03,.22,.496,.504,128,25110,.09,10.40,5.00,80600,22627,94724,46933,20154,1,.25,67087,189448
1,2,2015,1852,3867,1,1,13617,"$13,740 ","$23,114 ",722.80,18.81,.59,.00,.40,.491,.509,22,2427,.18,24.80,7.00,4285,1861,4092,2114,1265,2,.40,3379,8184
1,3,51959,48406,100365,1,1,391511,"$24,187 ","$44,874 ",803.20,490.34,.85,.06,.09,.488,.512,180,58252,.15,5.90,3.00,111243,29574,150740,70783,29171,1,.15,99954,301480
1,4,957,856,1813,1,1,5345,"$12,816 ","$27,359 ",1349.40,3.99,.74,.00,.26,.510,.490,14,1151,.21,16.90,5.00,1647,229,1670,1178,621,2,.26,1799,3340
1,5,942,1129,2071,0,1,4556,"$19,017 ","$23,054 ",2555.90,1.77,.93,.00,.07,.495,.505,23,982,.22,19.00,1.00,1192,220,1231,973,940,2,.07,1913,2462
1,6,905,646,1551,1,1,5048,"$13,742 ","$22,325 ",1514.00,3.32,.71,.01,.28,.520,.480,14,797,.16,20.40,3.00,1401,221,1346,1127,953,2,.29,2080,2692
1,7,40479,39515,79994,1,1,225339,"$21,782 ","$43,782 ",742.50,304.50,.90,.01,.10,.501,.499,152,33182,.15,11.00,4.00,55588,29072,86366,37104,17209,1,.11,54313,172732
1,8,2678,1826,4504,1,1,12684,"$13,116 ","$25,439 ",1013.50,12.52,.88,.02,.11,.536,.464,29,2446,.19,14.30,6.00,3032,926,3935,2703,2088,2,.13,4791,7870
1,9,490,422,912,1,1,2397,"$19,356 ","$30,053 ",1781.50,1.34,.96,.00,.04,.509,.491,11,495,.21,11.60,1.00,775,121,742,383,376,2,.04,759,1484
1,10,1923,1140,3063,1,1,7619,"$17,826 ","$41,111 ",395.50,19.29,.96,.00,.04,.519,.481,10,324,.04,9.50,3.00,2058,340,3119,1558,544,2,.04,2102,6238
1,11,1063,1343,2406,0,1,7453,"$9,534 ","$17,155 ",1287.30,5.80,.39,.00,.61,.497,.503,19,154,.02,33.90,11.00,2694,434,1918,1364,1043,2,.61,2407,3836
1,12,624,404,1028,1,1,3190,"$11,705 ","$15,127 ",1227.00,2.59,.22,.00,.78,.500,.500,2,9,.00,34.60,10.00,945,214,827,685,519,2,.78,1204,1654
1,13,758,468,1226,1,1,3946,"$11,946 ","$18,345 ",789.00,4.98,.68,.06,.25,.624,.376,8,454,.12,23.80,3.00,859,325,1495,692,575,2,.31,1267,2990
1,14,565,403,968,1,1,1926,"$14,913 ","$23,919 ",738.90,2.63,.96,.00,.05,.501,.499,6,306,.16,18.40,4.00,538,49,540,515,284,2,.05,799,1080
1,15,3645,3918,7563,0,1,20980,"$12,769 ","$22,197 ",1142.20,18.43,.90,.00,.10,.493,.507,52,4045,.19,17.80,6.00,5393,999,5304,4593,4691,2,.10,9284,10608
1,16,72984,57335,130319,1,1,467610,"$23,200 ","$32,038 ",153.30,3046.53,.61,.12,.26,.487,.513,323,83631,.18,17.10,5.00,108209,40550,173309,80737,64805,1,.38,145542,346618
1,17,322,320,642,1,1,1504,"$14,205 ","$24,671 ",1067.00,1.41,.94,.00,.06,.508,.492,7,378,.25,14.50,4.00,431,79,423,351,220,2,.06,571,846
1,18,11519,8261,19780,1,1,60391,"$24,740 ","$54,244 ",840.20,73.32,.95,.01,.04,.502,.498,42,5784,.09,3.20,3.00,19411,2706,25338,10412,2524,1,.05,12936,50676
1,19,3006,2064,5070,1,1,21928,"$21,966 ","$41,183 ",1688.00,13.16,.86,.00,.14,.527,.473,25,1179,.05,7.50,3.00,5825,1965,10768,2668,702,2,.14,3370,21536
